min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.3,2,9,3,387,2,7
0.3,2,10,0,7,0,3
0.3,2,10,1,16,0,3
0.3,2,10,2,36,1,4
0.3,2,10,3,63,2,6
0.3,3,2,0,5000,0,0
0.3,3,2,1,5000,0,0
0.3,3,2,2,5000,0,0
0.3,3,2,3,5000,0,0
0.3,3,3,0,5000,0,0
0.3,3,3,1,5000,0,0
0.3,3,3,2,5000,0,0
0.3,3,3,3,5000,0,0
0.3,3,4,0,5000,0,0
0.3,3,4,1,5000,0,0
0.3,3,4,2,5000,0,0
0.3,3,4,3,5000,0,0
0.3,3,5,0,3011,7,20
0.3,3,5,1,4101,7,20
0.3,3,5,2,5000,0,0
0.3,3,5,3,5000,0,0
0.3,3,6,0,2219,7,19
0.3,3,6,1,2886,7,19
0.3,3,6,2,5000,0,0
0.3,3,6,3,5000,0,0
0.3,3,7,0,149,5,13
0.3,3,7,1,365,5,13
0.3,3,7,2,1705,5,13
0.3,3,7,3,4022,6,15
0.3,3,8,0,40,4,9
0.3,3,8,1,44,4,9
0.3,3,8,2,54,4,9
0.3,3,8,3,148,4,9
0.3,3,9,0,14,4,6
0.3,3,9,1,14,4,6
0.3,3,9,2,19,4,7
0.3,3,9,3,21,4,7
0.3,3,10,0,1,0,0
0.3,3,10,1,1,0,0
0.3,3,10,2,2,1,2
0.3,3,10,3,2,1,2
0.3,4,2,0,5000,0,0
0.3,4,2,1,5000,0,0
0.3,4,2,2,5000,0,0
0.3,4,2,3,5000,0,0
0.3,4,3,0,5000,0,0
0.3,4,3,1,5000,0,0
0.3,4,3,2,5000,0,0
0.3,4,3,3,5000,0,0
0.3,4,4,0,5000,9,22
0.3,4,4,1,5000,8,16
0.3,4,4,2,5000,0,0
0.3,4,4,3,5000,0,0
0.3,4,5,0,926,9,18
0.3,4,5,1,2279,9,19
0.3,4,5,2,5000,0,1
0.3,4,5,3,5000,0,0
0.3,4,6,0,368,7,15
0.3,4,6,1,659,7,16
0.3,4,6,2,2405,7,17
0.3,4,6,3,5000,8,17
0.3,4,7,0,313,7,15
0.3,4,7,1,502,7,16
0.3,4,7,2,1041,7,17
0.3,4,7,3,1518,8,18
0.3,4,8,0,157,6,12
0.3,4,8,1,262,6,13
0.3,4,8,2,541,6,14
0.3,4,8,3,862,7,15
0.3,4,9,0,55,3,6
0.3,4,9,1,98,3,6
0.3,4,9,2,159,4,8
0.3,4,9,3,192,5,9
0.3,4,10,0,18,2,4
0.3,4,10,1,32,2,4
0.3,4,10,2,43,4,6
0.3,4,10,3,50,5,7
0.3,5,2,0,5000,0,0
0.3,5,2,1,5000,0,0
0.3,5,2,2,5000,0,0
0.3,5,2,3,5000,0,0
0.3,5,3,0,5000,0,0
0.3,5,3,1,5000,0,0
0.3,5,3,2,5000,0,0
0.3,5,3,3,5000,0,0
0.3,5,4,0,5000,3,9
0.3,5,4,1,5000,0,0
0.3,5,4,2,5000,0,0
0.3,5,4,3,5000,0,0
0.3,5,5,0,2196,6,17
0.3,5,5,1,2511,6,17
0.3,5,5,2,3173,6,17
0.3,5,5,3,5000,6,15
0.3,5,6,0,356,5,11
0.3,5,6,1,444,5,11
0.3,5,6,2,592,5,11
0.3,5,6,3,1077,5,11
0.3,5,7,0,313,4,7
0.3,5,7,1,322,4,7
0.3,5,7,2,333,4,7
0.3,5,7,3,379,4,7
0.3,5,8,0,159,3,5
0.3,5,8,1,163,3,5
0.3,5,8,2,166,3,5
0.3,5,8,3,171,3,5
0.3,5,9,0,73,3,3
0.3,5,9,1,75,3,3
0.3,5,9,2,76,3,3
0.3,5,9,3,77,3,3
0.3,5,10,0,71,2,2
0.3,5,10,1,71,2,2
0.3,5,10,2,76,3,3
0.3,5,10,3,-1,3,3
0.4,1,2,0,5000,0,0
0.4,1,2,1,5000,0,0
0.4,1,2,2,5000,0,0
0.4,1,2,3,5000,0,0
0.4,1,3,0,5000,0,0
0.4,1,3,1,5000,0,0
0.4,1,3,2,5000,0,0
0.4,1,3,3,5000,0,0
0.4,1,4,0,2039,6,14
0.4,1,4,1,5000,6,14
0.4,1,4,2,5000,0,0
0.4,1,4,3,5000,0,0
0.4,1,5,0,707,6,14
0.4,1,5,1,1145,6,15
0.4,1,5,2,1808,6,16
0.4,1,5,3,3200,6,16
0.4,1,6,0,75,2,6
0.4,1,6,1,112,2,6
0.4,1,6,2,186,2,6
0.4,1,6,3,287,2,6
0.4,1,7,0,38,1,4
0.4,1,7,1,55,1,4
0.4,1,7,2,103,1,4
0.4,1,7,3,122,1,4
0.4,1,8,0,14,1,4
0.4,1,8,1,27,1,4
0.4,1,8,2,39,1,4
0.4,1,8,3,48,1,4
0.4,1,9,0,10,0,3
0.4,1,9,1,13,0,3
0.4,1,9,2,25,1,4
0.4,1,9,3,33,1,4
0.4,1,10,0,9,0,3
0.4,1,10,1,12,0,3
0.4,1,10,2,23,1,4
0.4,1,10,3,30,1,4
0.4,2,2,0,5000,0,0
0.4,2,2,1,5000,0,0
0.4,2,2,2,5000,0,0
0.4,2,2,3,5000,0,0
0.4,2,3,0,5000,0,0
0.4,2,3,1,5000,0,0
0.4,2,3,2,5000,0,0
0.4,2,3,3,5000,0,0
0.4,2,4,0,5000,8,17
0.4,2,4,1,5000,0,0
0.4,2,4,2,5000,0,0
0.4,2,4,3,5000,0,0
0.4,2,5,0,2653,7,21
0.4,2,5,1,5000,0,1
0.4,2,5,2,5000,0,0
0.4,2,5,3,5000,0,0
0.4,2,6,0,389,7,16
0.4,2,6,1,898,7,17
0.4,2,6,2,2070,7,18
0.4,2,6,3,4653,8,19
0.4,2,7,0,326,7,16
0.4,2,7,1,545,7,17
0.4,2,7,2,1014,7,18
0.4,2,7,3,1430,8,19
0.4,2,8,0,162,6,14
0.4,2,8,1,275,6,15
0.4,2,8,2,495,6,16
0.4,2,8,3,753,7,17
0.4,2,9,0,78,5,8
0.4,2,9,1,129,5,8
0.4,2,9,2,208,5,8
0.4,2,9,3,305,6,9
0.4,2,10,0,78,5,8
