min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.4,3,4,2,5000,0,1
0.4,3,4,3,5000,0,1
0.4,3,5,0,5000,0,12
0.4,3,5,1,5000,0,9
0.4,3,5,2,5000,0,0
0.4,3,5,3,5000,0,2
0.4,3,6,0,5000,0,46
0.4,3,6,1,5000,0,38
0.4,3,6,2,5000,0,18
0.4,3,6,3,5000,0,4
0.4,3,7,0,3337,2,52
0.4,3,7,1,4573,2,54
0.4,3,7,2,5000,0,48
0.4,3,7,3,5000,0,23
0.4,3,8,0,1582,1,39
0.4,3,8,1,2577,2,52
0.4,3,8,2,4814,3,82
0.4,3,8,3,5000,0,66
0.4,3,9,0,755,0,38
0.4,3,9,1,977,0,41
0.4,3,9,2,1526,1,61
0.4,3,9,3,2360,2,74
0.4,3,10,0,383,0,12
0.4,3,10,1,468,0,12
0.4,3,10,2,790,0,19
0.4,3,10,3,1353,1,29
0.4,4,2,0,5000,0,0
0.4,4,2,1,5000,0,0
0.4,4,2,2,5000,0,0
0.4,4,2,3,5000,0,0
0.4,4,3,0,5000,0,0
0.4,4,3,1,5000,0,0
0.4,4,3,2,5000,0,0
0.4,4,3,3,5000,0,0
0.4,4,4,0,5000,0,0
0.4,4,4,1,5000,0,0
0.4,4,4,2,5000,0,1
0.4,4,4,3,5000,0,1
0.4,4,5,0,5000,0,0
0.4,4,5,1,5000,0,0
0.4,4,5,2,5000,0,0
0.4,4,5,3,5000,0,0
0.4,4,6,0,5000,0,41
0.4,4,6,1,5000,0,4
0.4,4,6,2,5000,0,0
0.4,4,6,3,5000,0,0
0.4,4,7,0,2332,2,70
0.4,4,7,1,4806,6,98
0.4,4,7,2,5000,1,74
0.4,4,7,3,5000,0,40
0.4,4,8,0,1433,1,46
0.4,4,8,1,2473,2,58
0.4,4,8,2,3850,3,87
0.4,4,8,3,5000,1,100
0.4,4,9,0,1069,1,44
0.4,4,9,1,1308,1,46
0.4,4,9,2,1903,2,67
0.4,4,9,3,2697,3,79
0.4,4,10,0,482,0,14
0.4,4,10,1,578,0,14
0.4,4,10,2,936,0,21
0.4,4,10,3,1486,1,30
