min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.4,5,6,2,5000,0,0
0.4,5,6,3,5000,0,0
0.4,5,7,0,1260,23,72
0.4,5,7,1,5000,10,26
0.4,5,7,2,5000,0,0
0.4,5,7,3,5000,0,0
0.4,5,8,0,595,22,66
0.4,5,8,1,729,23,68
0.4,5,8,2,1086,24,73
0.4,5,8,3,1574,26,77
0.4,5,9,0,299,13,29
0.4,5,9,1,419,13,30
0.4,5,9,2,684,15,36
0.4,5,9,3,1066,15,39
0.4,5,10,0,103,5,14
0.4,5,10,1,163,5,16
0.4,5,10,2,284,7,21
0.4,5,10,3,-1,7,21
